Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8342580k(2185872k free), swap 10043876k(2198336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2017-11-18T17:28:06.511+0300: 5.161: [GC (Allocation Failure) 2017-11-18T17:28:06.511+0300: 5.161: [DefNew: 139776K->3259K(157248K), 0.0075145 secs] 139776K->3259K(506816K), 0.0076727 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-11-18T17:28:06.562+0300: 5.211: [GC (Allocation Failure) 2017-11-18T17:28:06.562+0300: 5.211: [DefNew: 143035K->4987K(157248K), 0.0079284 secs] 143035K->4987K(506816K), 0.0080084 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-11-18T17:28:06.608+0300: 5.258: [GC (Allocation Failure) 2017-11-18T17:28:06.608+0300: 5.258: [DefNew: 144763K->7135K(157248K), 0.0104936 secs] 144763K->7135K(506816K), 0.0105542 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-11-18T17:28:06.658+0300: 5.308: [GC (Allocation Failure) 2017-11-18T17:28:06.658+0300: 5.308: [DefNew: 146911K->8543K(157248K), 0.0122933 secs] 146911K->8543K(506816K), 0.0123551 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-11-18T17:28:06.709+0300: 5.359: [GC (Allocation Failure) 2017-11-18T17:28:06.709+0300: 5.359: [DefNew: 148319K->10615K(157248K), 0.0147622 secs] 148319K->10615K(506816K), 0.0148247 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-11-18T17:28:06.762+0300: 5.412: [GC (Allocation Failure) 2017-11-18T17:28:06.762+0300: 5.412: [DefNew: 150391K->9056K(157248K), 0.0167723 secs] 150391K->12023K(506816K), 0.0168350 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:06.818+0300: 5.468: [GC (Allocation Failure) 2017-11-18T17:28:06.818+0300: 5.468: [DefNew: 148832K->10090K(157248K), 0.0153339 secs] 151799K->14444K(506816K), 0.0153940 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-11-18T17:28:06.871+0300: 5.521: [GC (Allocation Failure) 2017-11-18T17:28:06.871+0300: 5.521: [DefNew: 149866K->10107K(157248K), 0.0157942 secs] 154220K->15835K(506816K), 0.0158558 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:06.924+0300: 5.574: [GC (Allocation Failure) 2017-11-18T17:28:06.925+0300: 5.574: [DefNew: 149883K->10101K(157248K), 0.0152289 secs] 155611K->17227K(506816K), 0.0152928 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:06.979+0300: 5.629: [GC (Allocation Failure) 2017-11-18T17:28:06.979+0300: 5.629: [DefNew: 149877K->11668K(157248K), 0.0180126 secs] 157003K->20171K(506816K), 0.0180724 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:07.035+0300: 5.685: [GC (Allocation Failure) 2017-11-18T17:28:07.035+0300: 5.685: [DefNew: 151444K->8899K(157248K), 0.0176839 secs] 159947K->21563K(506816K), 0.0177446 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
